"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2018","40.86","39.44","40.96","38.93","72.96M","3.86%"
"11/29/2018","39.34","40.00","40.38","39.03","54.92M","-1.70%"
"11/28/2018","40.02","39.62","40.07","38.28","80.45M","4.14%"
"11/27/2018","38.43","38.00","39.25","37.64","73.81M","0.44%"
"11/26/2018","38.26","37.47","38.37","36.64","81.48M","5.54%"
"11/23/2018","36.25","35.83","37.40","35.70","41.20M","0.19%"
"11/21/2018","36.18","38.66","38.83","35.90","102.55M","-2.92%"
"11/20/2018","37.27","33.52","38.56","33.33","169.20M","3.04%"
"11/19/2018","36.17","40.45","40.45","36.16","169.78M","-12.02%"
"11/16/2018","41.11","40.83","42.66","40.40","196.35M","-18.75%"
"11/15/2018","50.60","49.24","51.33","48.88","84.07M","2.64%"
"11/14/2018","49.30","51.58","51.72","48.21","52.66M","-1.06%"
"11/13/2018","49.83","48.37","51.05","48.31","64.47M","5.17%"
"11/12/2018","47.38","50.49","50.72","47.16","61.71M","-7.86%"
"11/09/2018","51.42","50.60","52.33","50.26","41.32M","-0.16%"
"11/08/2018","51.50","52.85","52.86","50.96","51.14M","-3.65%"
"11/07/2018","53.45","53.44","54.35","52.80","48.38M","1.29%"
"11/06/2018","52.77","52.86","53.71","52.39","29.90M","-0.32%"
"11/05/2018","52.94","53.60","53.83","51.32","37.93M","-1.47%"
"11/02/2018","53.73","54.43","55.50","52.55","45.30M","-1.47%"
"11/01/2018","54.53","53.08","54.62","51.80","56.65M","3.45%"
"10/31/2018","52.71","52.41","53.15","51.00","74.58M","3.86%"
"10/30/2018","50.75","46.64","50.85","46.41","80.72M","9.35%"
"10/29/2018","46.41","51.00","51.03","44.00","75.80M","-6.37%"
"10/26/2018","49.57","49.58","51.21","48.28","66.48M","-4.60%"
"10/25/2018","51.96","48.87","52.44","48.42","95.17M","4.23%"
"10/24/2018","49.85","54.88","55.35","49.71","88.43M","-9.81%"
"10/23/2018","55.27","55.11","56.05","54.18","62.64M","-4.38%"
"10/22/2018","57.80","57.82","58.83","56.77","36.88M","0.89%"
"10/19/2018","57.29","60.44","60.64","56.92","61.36M","-4.33%"
"10/18/2018","59.88","61.47","61.85","59.27","52.40M","-1.46%"
"10/17/2018","60.77","62.09","62.47","60.27","32.97M","-1.12%"
"10/16/2018","61.46","59.98","61.57","59.48","40.87M","4.45%"
"10/15/2018","58.84","61.50","61.50","58.84","44.98M","-4.53%"
"10/12/2018","61.63","61.38","62.39","59.91","60.82M","4.85%"
"10/11/2018","58.78","60.54","61.89","58.57","72.54M","-4.30%"
"10/10/2018","61.42","65.31","65.78","61.40","68.49M","-7.49%"
"10/09/2018","66.39","66.23","67.19","65.70","27.35M","-0.08%"
"10/08/2018","66.44","66.62","67.79","65.02","40.86M","-1.53%"
"10/05/2018","67.47","69.57","70.20","66.89","42.66M","-3.37%"
"10/04/2018","69.82","71.32","71.56","69.05","39.12M","-2.59%"
"10/03/2018","71.68","72.33","72.41","70.63","32.06M","0.08%"
"10/02/2018","71.62","72.06","73.19","71.39","38.40M","-1.00%"
"10/01/2018","72.34","71.04","73.02","70.65","62.21M","2.98%"
"09/28/2018","70.25","68.18","70.48","67.90","70.94M","5.09%"
"09/27/2018","66.85","67.08","67.30","66.53","21.44M","0.18%"
"09/26/2018","66.73","67.15","67.56","66.57","26.85M","-0.55%"
"09/25/2018","67.10","67.09","67.36","66.23","28.04M","1.02%"
